"name","url","country","region","divisions","keywords"
"California State University Maritime Academy","https://www.csum.edu/web/industry/graduate-studies/mste","united states","california","transportation, engineering, management, master, science, business, humanitarian, disaster, management, online, maritime",""
"California State University, Long Beach","http://www.ccpe.csulb.edu/continuinged/course_listing/programdescription.aspx?programid=173","united states","california","online, masters, science, Emergency, services, administration, leadership, critical thinking, create, manage, disaster, resilient, communities",""
"California University of Pennsylvania","http://www.calu.edu/academics/programs/geography/curriculum/gis-emergency/index.htm","united states","pennsylvania","ba, geography, gis, Emergency, management, crime, mapping, natural, hazards, geographic, information, site, design, sustainability, tourism",""
"Camden County Emergency Management","http://www.co.camden.ga.us/81/Emergency-Management","united states","georgia","EM, Practitioner , Response, Civil , Cyber Security",""
"Canada Communicable Disease Report","http://www.phac-aspc.gc.ca/ccdrw-rmtch/index-eng.php","canada","all regions","EM, practitioer, health, science research Academia, business continuity","emergency, planning, preparedness, disease, communicable, report, pandemic"
"Canada Shipping Act","http://laws-lois.justice.gc.ca/eng/acts/C-10.15/index.html","canada","all regions","EM, practitioner, science research Academia, business continuity, critical infrastructure","emergency, shipping, spill, act, search, rescue, pollution, response, regulations"
"Canada-US Joint Marine Pollution Control Contingency Plan (JCP)","http://www.ccg-gcc.gc.ca/folios/00025/docs/canadaus_pub-eng.pdf","canada","all regions","EM, practitioner, science research Academia, business continuity, critical infrastructure","emergency, management, Joint, marine, pollution, contingency, plan"
"Canada's National Disaster Mitigation Strategy","http://www.publicsafety.gc.ca/cnt/rsrcs/pblctns/mtgtn-strtgy/index-eng.aspx","canada","all regions","EM, practitioner, science research Academia, health, business continuity, ngo , humanitarian, civil protection","emergeny, management, national, disaster, mitigation, strategy"
"Canadian Coast Guard","http://www.ccg-gcc.gc.ca/eng/CCG/Home","canada","all regions","EM, practitioner, science research Academia, health","emergency, response, recovery, coast, guard, environmental, marine, hazard, icebreaking, search, rescue, fleet, training"
"Canadian Coast Guard - Auxiliaries","http://www.ccga-m.ca/","canada","prince edward island","EM, practitioner, ngo , humanitarian","emergency, management, plan, preparedness, response, recovery, hazards, planning, logistics, training"
"canadian cyber indicent response centre","http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cbr-scrt/ccirc-ccric-eng.aspx","canada","all regions","EM, practitioner, science research Academia, business continuity, critical infrastructure","emergency, management, cyber, indicent, response, centre, mitigate, critical infrastructure"
"Canadian Emergency Response Contractors Alliance","http://www.cerca-aceiu.ca/","canada","all regions","EM, practitioner, business continuity, civil protection","emergency, response, contractors, service, alliance"
"Canadian Environment Protection act","http://laws-lois.justice.gc.ca/eng/acts/C-15.31/","canada","all regions","EM, practitioner, science research Academia, business continuity, critical infrastructure","emergency, environment, protection, act, laws, regulations, pollution, toxic,"
"canadian journal of infectious diseases & medical microbiology","http://www.pulsus.com/journals/journalHome.jsp?sCurrPg=journal&jnlKy=3&/home.htm","canada","all regions","health, science research Academia","infectious, disease, medical, health, microbiology"
"Canadian Medical Association","https://www.cma.ca/en/Pages/cma_default.aspx","canada","all regions","health, science research Academia","medical, disease, health"
